c_value,accuracy,balanced_accuracy,macro_f1,weighted_f1,negative_recall,iterations,training_seconds,prediction_seconds,converged
0.05,0.907623817473567,0.8198567320869973,0.8117927867854074,0.9086008059133557,0.8817737202477991,11,32.646281749999616,0.04840879200128256,True
0.1,0.9072325403450194,0.8205945096619832,0.8115518979466905,0.9084877821586953,0.8807303553961526,13,34.44719199999963,0.04883854199943016,True
0.2,0.9058848080133556,0.8189592183800007,0.8094169702970321,0.9074211322633834,0.8763612650798827,13,39.7896700420024,0.04906704200038803,True
0.03,0.9064847662771286,0.8163397841475778,0.8090382356747732,0.9072752151237767,0.8794261493315944,11,29.024799625000014,0.04846791700038011,True
0.5,0.9033023789649416,0.8150362258365607,0.8047427225330508,0.9051133706381265,0.8704923377893707,18,53.34953370899893,0.04916104199946858,True
0.01,0.9034154145798553,0.8065283881275223,0.8015305590699664,0.9035132237357704,0.874600586892729,9,24.47269283299829,0.04955212500135531,True
1.0,0.9007112548692265,0.8113367595087375,0.8003795408145195,0.9028006363115304,0.8658624062601891,17,63.105122958997526,0.05011370899956091,True
2.0,0.8979723149693934,0.8077660208190564,0.7960938259712039,0.9003985749129463,0.859471796543854,18,69.27745079099986,0.053354083000158425,True
